fullVisitorId,transacciones
9417857471295131045,9
5584411114546174652,5
4260968995177655855,5
4178948793864037103,4
9240425877262756231,4
7567817112637547239,4
5215840735346366486,4
9905174730865679854,3
2158257269735455737,3
0376394056092189113,3
599110551792149234,3
0014262055593378383,3
1476938238176225678,3
7701613595320832147,3
806992249032686650,3
9530536315613357862,3
2863616485775419102,2
7954367393399826900,2
7282058185499112847,2
1675171647898452800,2
5772921781547143127,2
713731982901764318,2
4352760646905266733,2
4143932736586919766,2
5753687412615654863,2
3708624609955414339,2
953713676730854570,2
6803256328892941875,2
5960127137243713650,2
6297544198548387157,2
4042880551685271731,2
3700714855829972615,2
7782965489086957079,2
9784853758319873850,2
0163532416839889055,2
5001293816565919651,2
0024932550342595467,2
8671741245048754342,2
4381707062146143113,2
6152978475187911748,2
5135901390896357467,2
0608915197735218105,2
3273268557987890623,2
9249130983722228273,2
4376572204985925602,2
597489337358394308,2
4146222468180363567,2
4299030824455740972,2
5402571042001627330,2
8151349247637576196,2
8825602309761363794,2
6052206455243513477,2
7012131705583674177,2
47511660497565285,2
1255368394012652243,2
6246146960091353412,2
7866268239897048336,2
1280993661204347450,2
9509348681300444250,2
3156235512146749592,2
2224572703195879390,2
3346631104336405882,2
3680244960768233462,2
4284747478619287722,2
689318192161645703,2
0743501820485430157,2
9505484401754648749,2
1835132804289989526,2
1205098047899006231,2
4140559214164857738,2
9026840718082010040,2
9587233052829072755,2
5112369122544987822,2
120951074287268149,2
5292294760335216459,2
8154318582372771955,1
9344315745283537381,1
0535797652559788641,1
1081954083914922307,1
4045831322438555082,1
5365708442015077167,1
0640040708763897460,1
1875268638592946287,1
83055806370747628,1
1958518504412290611,1
0500460722094613747,1
2590088265600782267,1
5066382323992610838,1
6646523251391378796,1
7730778110265788269,1
9305224849656676534,1
160370198171303042,1
7846265776310082337,1
0367699875055542808,1
454845221896711463,1
1958192249642375634,1
3490620713275982342,1
0763707560320645222,1
169337349809177349,1
5039693679894183284,1
2638377830326163737,1
7736543262187152126,1
3680806121011427493,1
2645557375569096181,1
2178459566193458788,1
3916248033880457849,1
7853124250162225215,1
3954784642722657723,1
947193476266502800,1
7451284399359627657,1
7824759881998320555,1
5639438910924480453,1
4026449406503874324,1
0363878417378060116,1
4230960861530232531,1
9119794344298537076,1
889422988902631033,1
8430163495777040605,1
9654758935896158776,1
8573628711430738315,1
1459050472203168026,1
9868557064314705324,1
8676763420791275254,1
109375183949292344,1
4717136695286769796,1
6234607912924259841,1
8305324219354284523,1
2308631730639284715,1
9104296808650483352,1
7591955684159608805,1
1774472718303082739,1
6465870836529202272,1
0531829155524217247,1
2440774884535248016,1
4938796308846198678,1
9213584705844626996,1
8040137666683755877,1
0097563825178820508,1
0663614479606200802,1
6215579195601546611,1
4154041461958944095,1
6189137290295727859,1
5976867149100083641,1
0294093638755103061,1
4795790370118359645,1
9858575902161625282,1
0972673302515080474,1
525470181967108180,1
1442612237985610717,1
2624131748689653933,1
8180992226439641389,1
22078954710203778,1
6974476474190004026,1
6332990203478940744,1
7466690540565937255,1
5657677988182303423,1
9963197880398595287,1
4626256438410154733,1
5538435101700540876,1
1713847086511016991,1
9095973446989997244,1
4615467220494146394,1
4105754576329014219,1
3053417453950406791,1
5185882727774791811,1
4034510370290015321,1
6236695646664370912,1
6053317410808350071,1
7757589561918883331,1
9391607314160932483,1
4895430552956512702,1
3978330627656387084,1
3004433257206076818,1
557267724728292293,1
8239546374178075911,1
3898563466459211162,1
1673188218512892503,1
4981679382824177253,1
3724383329494779540,1
4787370740481074044,1
0546450430035162938,1
0572135527461851083,1
0956108016718766611,1
1931723981901564088,1
2618807484848182971,1
5952422370450576468,1
7985347873719599013,1
7303461177926085857,1
372706149688864468,1
9179364299608933418,1
2219981041933608843,1
6736977205570964943,1
1393633173328801040,1
2459432206617896206,1
3948753572772915413,1
4370296679036736835,1
7824102392765552707,1
4624790961997446284,1
1741172694620038876,1
190492934318255272,1
9629138648067304387,1
9911451154506607743,1
6873140036612855431,1
3533141636411834269,1
9740627261104812573,1
6390036557697403871,1
2118556556010692812,1
7089296120636038584,1
9089896742439819665,1
9422085418164335542,1
9035173114644245964,1
9060309108953686961,1
4693422077502534585,1
1922510765164338251,1
1392760476578326953,1
2689556653800639103,1
2812654087924931640,1
9802926311803722380,1
9856403899995722473,1
0967510812862831126,1
3839596841653772572,1
1025574386832469970,1
067475292701707948,1
0429502726115959763,1
7507699100891959218,1
9448751983627817237,1
1947343681843355858,1
4339064982507273483,1
425433276966204823,1
7911961580493101960,1
9707913144913687378,1
8519577869545508855,1
491177567878140069,1
5670613208439164608,1
749967699578346374,1
544222846238969798,1
0794644147217997845,1
9104901150360487546,1
7063315126654210750,1
4274511861314211339,1
6310913035223827948,1
7783483124481840961,1
5185645869012304658,1
5612807768965191337,1
2302897932992284309,1
7303793848128238288,1
7547701694662050330,1
6704364789762409859,1
7741904137426649634,1
5714578235466782917,1
2439011587487738686,1
5296297372596099151,1
2433182968898386515,1
8915655068975271461,1
2341448488539470965,1
4572473880059546924,1
6494204056900967959,1
8718443071348965186,1
9433517997046669782,1
7183243391284715656,1
7232030663207265797,1
6513685604083648974,1
2837725284997269762,1
8698140093733128307,1
163910434575936100,1
3700543276431412713,1
8261368202596858055,1
2687747268928070384,1
1785770568670204175,1
8780445498294202074,1
7478106734160303595,1
9475000972333610150,1
0214776722271775969,1
4656286722064696063,1
6245962080386953755,1
0893919105830368772,1
9974351919673138742,1
9746124619174084370,1
3945002194355797350,1
039400440658825933,1
1342741603893289943,1
682241557361742402,1
0143782636543876435,1
5328385563084211127,1
157019484210987302,1
330070454475724462,1
9512976956663565169,1
7181128763936845788,1
7724099657846251773,1
057693500927581077,1
0658019277799848735,1
1383949428914741700,1
8838657285552913253,1
3575773830913742237,1
8259756799557639912,1
4019468962441063327,1
2354405029601095288,1
2017396058039056855,1
2264010855758956307,1
3558104655978527434,1
1090774782213816251,1
4773573244753299893,1
682549734570999775,1
2572686632526205558,1
7125068043444176386,1
4074582003417698725,1
1931486566224793189,1
2494927659578259711,1
5656797100186681238,1
1468478016521432136,1
4545152794461452964,1
6014980722805375499,1
